Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
CPC,Aviador Carlos Campos,129.99,Argentina,-40.07580185,-71.1391983
CRD,General E. Mosconi,3535.728,Argentina,-45.78720093,-67.46279907
EPA,El Palomar Airport,102024.818,Argentina,-34.60829926,-58.61249924
EZE,Ministro Pistarini,7334655.419,Argentina,-34.8199997,-58.53390122
FTE,Comandante A. Tola,363.972,Argentina,-50.28030014,-72.05329895
IGR,Cataratas Del Iguazu,10234.546,Argentina,-25.74169922,-54.46580124
JUJ,Gobernador H. Guzman,3457.734,Argentina,-24.38500023,-65.09739685
LGS,Comodoro D.R. Salomon,1299.9,Argentina,-35.46670151,-69.57420349
LPG,La Plata,1949.85,Argentina,-34.91669846,-57.95000076
MDZ,El Plumerillo,295215.956,Argentina,-32.83190155,-68.78469849
NQN,Presidente Peron,20356.434,Argentina,-38.95000076,-68.15219879
PMY,El Tehuelche Airport,4714.304,Argentina,-42.75899887,-65.10099793
REL,Almirante M.A. Zar,3119.76,Argentina,-43.23329926,-65.32330322
RES,Resistencia,15520.806,Argentina,-27.45140076,-59.05080032
RGL,Piloto N. Fernandez,4774.966,Argentina,-51.60919952,-69.33920288
ROS,Islas Malvinas,216593.671,Argentina,-32.9056015,-60.7867012
SLA,Martin M. de Guemes,56710.304,Argentina,-24.85499954,-65.47219849
TUC,Benjamin Matienzo,40933.851,Argentina,-26.83329964,-65.19999695
UAQ,Domingo F. Sarmiento,11309.13,Argentina,-31.56669998,-68.41670227
USH,Malvinas Argentinas,3977.694,Argentina,-54.80279923,-68.32779694
EVN,Zvartnots International Airport,1876219.331,Armenia,40.15420151,44.40140152
LWN,Shirak,71247.519,Armenia,40.71670151,43.83330154
AUA,Reina Beatrix,3390247.525,Aruba,12.50220013,-70.01390076
AAB,Arrabury Airport,1308.566,Australia,-26.70000076,141.0417023
ADL,Adelaide International,693960.281,Australia,-34.94829941,138.5346985
AVV,Avalon,274434.888,Australia,-38.04079819,144.4680939
BME,Broome International,701.946,Australia,-17.95000076,122.2300034
BNE,Brisbane Intl,4171262.109,Australia,-27.38500023,153.1163025
CBR,Canberra,106496.474,Australia,-35.30889893,149.1950073
CNS,Cairns International,469445.886,Australia,-16.88330078,145.7516937
DRW,Darwin International,228375.098,Australia,-12.41670036,130.8721924
GTE,Groote Eylandt,1646.54,Australia,-13.97220039,136.4532929
LEA,Learmonth,1906.52,Australia,-22.23500061,114.0817032
MCY,Maroochydore,10776.171,Australia,-26.60420036,153.0899963
MEL,Melbourne Airport,7110682.649,Australia,-37.6617012,144.8332977
MNV,Mount Valley,649.95,Australia,-14.11670017,133.8332977
NTL,Williamtown,6863.472,Australia,-32.79579926,151.8332977
OOL,Coolangatta,590895.543,Australia,-28.16670036,153.5083008
PER,Perth International,2702574.427,Australia,-31.93169975,115.9682999
PHE,Port Hedland International,9151.296,Australia,-20.37829971,118.6275024
SYD,Kingsford Smith,10972585.89,Australia,-33.94419861,151.1757965
TSV,Townsville International,12167.064,Australia,-19.25419998,146.7642059
GRZ,Graz,580985.972,Austria,46.99330139,15.43999958
INN,Innsbruck airport,518811.755,Austria,47.26029968,11.34389973
KLU,Klagenfurt,56874.958,Austria,46.64310074,14.3416996
LNZ,Blue Danube,226442.58,Austria,48.23329926,14.1875
SZG,Salzburg,951609.127,Austria,47.79309845,13.00559998
VIE,Vienna International,20076318.55,Austria,48.11109924,16.55830002
GBB,Gabala International Airport,3015.768,Azerbaijan,40.79309845,47.72579956
GYD,Heydar Aliyev,2681377.391,Azerbaijan,40.46659851,50.05250168
KVD,Ganja,75597.851,Azerbaijan,40.73329926,46.31669998
LLK,Lankaran Airport,12661.026,Azerbaijan,38.75889969,48.8064003
NAJ,Nakchivan Airport,10689.511,Azerbaijan,39.19029999,45.45890045
ASD,Andros Town International,1906.52,Bahamas,24.69779968,-77.7960968
BIM,South Bimini Intl,15837.115,Bahamas,25.69939995,-79.26560211
CCZ,Chub Cay International,1386.56,Bahamas,25.41749954,-77.88140106
ELH,North Eleuthera,72673.076,Bahamas,25.47470093,-76.68499756
FPO,Grand Bahama International,109399.584,Bahamas,26.55669975,-78.69940186
GGT,Georgetown-Exuma International,115192.805,Bahamas,23.46809959,-75.78250122
GHB,Governor's Harbour,6555.829,Bahamas,25.28389931,-76.33080292
GHC,Great Harbour,1906.52,Bahamas,25.73810005,-77.84030151
IGA,Matthew Town,129.99,Bahamas,20.98329926,-73.66670227
MHH,Marsh Harbour,134318.667,Bahamas,26.51110077,-77.08470154
NAS,Lynden Pindling Intl,2450016.856,Bahamas,25.04059982,-77.47190094
NSB,North Seaplane Base,11192.139,Bahamas,25.74970055,-79.27639771
PID,Paradise Island,8250.032,Bahamas,25.08329964,-77.30000305
RSD,Rock Sound International,779.94,Bahamas,24.89170075,-76.17810059
SML,Stella Maris,129.99,Bahamas,23.58329964,-75.26809692
TBI,New Bight,1975.848,Bahamas,24.31500053,-75.45359802
TCB,Treasure Cay,9445.94,Bahamas,26.73500061,-77.37220001
TZN,South Andros,987.924,Bahamas,24.6970005,-77.79579926
ZSA,Cockburn Town,19056.534,Bahamas,24.05999947,-74.53309631
BAH,Bahrain Intl,6799408.595,Bahrain,26.27079964,50.63750076
CGP,Shah Amanat International Airport,556937.822,Bangladesh,22.2574997,91.82559967
CXB,Cox's Bazar,3046.099,Bangladesh,21.45000076,91.9681015
DAC,Hazrat Shahjalal International,5035855.93,Bangladesh,23.78059959,90.38610077
ZYL,Osmani International,11824.757,Bangladesh,24.95890045,91.87439728
BGI,Grantley Adams International,1403727.346,Barbados,13.07219982,-59.49309921
BQT,Brest,814.604,Belarus,52.11669922,23.88330078
GME,Gomel,1221.906,Belarus,52.41669846,31
GNA,Grodno,1221.906,Belarus,53.66669846,23.79999924
MHP,Minsk -1 Airport,19446.504,Belarus,53.86669922,27.54999924
MSQ,Minsk International,2729413.029,Belarus,53.86669922,27.5333004
VTB,Vitebsk Airport,1221.906,Belarus,55.08330154,30.2166996
ANR,Antwerp International,180798.758,Belgium,51.18999863,4.460000038
BRU,Brussels Airport,16781804.33,Belgium,50.90140152,4.484399796
CRL,Brussels S. Charleroi,4614380.687,Belgium,50.45920181,4.45389986
KJK,Wevelgem,69.328,Belgium,50.81719971,3.204699993
LGG,Liege Airport,86950.311,Belgium,50.63750076,5.44329977
OST,Oostende/Brugge,246513.036,Belgium,51.1996994,2.863600016
BZE,Belize International,852431.09,Belize,17.53610039,-88.30999756
INB,Independence Airport,2036.51,Belize,16.53499985,-88.44000244
SPR,San Pedro,207.984,Belize,17.91110039,-87.96859741
TZA,Belize City Muni,207.984,Belize,17.5156002,-88.19580078
COO,Cadjehoun,476798.987,Benin,6.354199886,2.38560009
BDA,L.F. Wade International,786803.472,Bermuda,32.36529923,-64.69000244
PBH,Paro International,312656.281,Bhutan,27.43330002,89.41670227
CBB,Jorge Wilstermann Intl,19992.462,Bolivia,-17.42830086,-66.17169952
LPB,El Alto International,291775.554,Bolivia,-16.50690079,-68.20140076
ORU,Juan Mendoza,2274.825,Bolivia,-17.96419907,-67.08080292
PSZ,Puerto Suarez International,8735.328,Bolivia,-18.9666996,-57.79999924
SRJ,German Quiroga Guardia,12431.377,Bolivia,-14.85000038,-66.73329926
TJA,Cap. Oriel Lea Plaza,2118.837,Bolivia,-21.55419922,-64.7457962
VVI,Viru Viru Intl,876955.87,Bolivia,-17.64109993,-63.13389969
BON,Flamingo International Airport,239450.246,"Bonaire, Saint Eustatius & Saba",12.1342001,-68.27330017
EUX,F. D. Roosevelt,26002.333,"Bonaire, Saint Eustatius & Saba",17.49309921,-62.97779846
SAB,Juancho E. Yrausquin,21548.009,"Bonaire, Saint Eustatius & Saba",17.64439964,-63.22219849
BNX,Banja Luka International Airport,93800.784,Bosnia and Herzegovina,44.9408989,17.29759979
OMO,Mostar International Airport,17834.628,Bosnia and Herzegovina,43.28559876,17.84670067
SJJ,Sarajevo International Airport,743902.439,Bosnia and Herzegovina,43.81890106,18.33810043
TZL,Tuzla International Airport,326014.92,Bosnia and Herzegovina,44.45859909,18.72400093
BBK,Kasane,32735.815,Botswana,-17.7833004,25.16670036
FRW,Francistown,5468.246,Botswana,-21.15999985,27.48250008
GBE,Sir Seretse Khama Intl,315715.379,Botswana,-24.6541996,25.94169998
MUB,Maun,77114.401,Botswana,-19.9708004,23.43059921
AJU,Santa Maria,1542.548,Brazil,-10.98330021,-37.04999924
ARU,Dario Guarita,24264.8,Brazil,-21.14360046,-50.42610169
BEL,Val de Cans Intl,124664.743,Brazil,-1.378900051,-48.4756012
BPS,Porto Seguro,14480.886,Brazil,-16.43330002,-39.08330154
BSB,J. Kubitschek Intl,479593.772,Brazil,-15.86060047,-47.91529846
BVB,A.B. Cantanhede Intl,4748.968,Brazil,2.833300114,-60.66669846
CFB,Cabo Frio International,3067.764,Brazil,-22.92499924,-42.07860184
CGB,Marechal Rondon Intl,2491.475,Brazil,-15.64999962,-56.11669922
CGH,Congonhas,753.942,Brazil,-23.62610054,-46.65639877
CGR,Campo Grande International,3466.4,Brazil,-20.46330071,-54.67250061
CNF,Tancredo Never International,239822.884,Brazil,-19.63330078,-43.96670151
CPQ,Campinas Intl,20265.441,Brazil,-23,-47.13330078
CWB,Afonso Pena International,60493.013,Brazil,-25.52669907,-49.17779923
FLN,Hercilio Luz International,170048.585,Brazil,-27.66970062,-48.55059815
FOR,Pinto Martins International,379887.109,Brazil,-3.77670002,-38.53440094
GIG,Galeao-A.C.Jobim Intl,2641539.789,Brazil,-22.80780029,-43.24330139
GRU,Guarulhos Intl,9004121.322,Brazil,-23.43499947,-46.47280121
GYN,Santa Genoveva,10919.16,Brazil,-16.63829994,-49.21080017
IGU,Cataratas International,48148.296,Brazil,-25.52470017,-54.58470154
JPA,Castro Pinto International,3223.752,Brazil,-7.146399975,-34.95190048
LVB,Santana do Livramento,4263.672,Brazil,-30.83329964,-55.61669922
MAO,Eduardo Gomes Intl,128768.094,Brazil,-3.039200068,-60.04999924
MCP,Alberto Alcolumbre International,2521.806,Brazil,0.050000001,-51.06669998
MCZ,Zumbi dos Palmares Int,3223.752,Brazil,-9.515299797,-35.79579926
MII,Frank M. Milenkowichi,5199.6,Brazil,-22.2166996,-49.93330002
NAT,Natal International,58885.47,Brazil,-5.768099785,-35.37609863
NVT,Victor Konder Intl,7158.116,Brazil,-26.87940025,-48.6507988
PLU,Pampulha,4073.02,Brazil,-19.85169983,-43.95080185
POA,Salgado Filho Intl,328584.389,Brazil,-29.99329948,-51.17079926
RBR,Placido de Castro Intl,2322.488,Brazil,-9.9666996,-67.80000305
REC,Guararapes International,358447.425,Brazil,-8.125800133,-34.9239006
RIG,Rio Grande Regional,6187.524,Brazil,-32.08190155,-52.16640091
ROO,Maestro Marinho Franco,1949.85,Brazil,-16.43330002,-54.72859955
SDU,Santos Dumont,3462.067,Brazil,-22.90999985,-43.16279984
SSA,Luis E. Magalhaes Intl,272506.703,Brazil,-12.91559982,-38.33610153
UBA,M. de Almeida Franco,5199.6,Brazil,-19.77639961,-47.95830154
VAG,Varginha,1949.85,Brazil,-21.54999924,-45.43330002
VCP,Viracopos-Campinas Intl,560464.884,Brazil,-23.00670052,-47.13439941
VIX,E. de Aguiar Salles,2539.138,Brazil,-20.26440048,-40.28749847
EIS,Terrance B. Lettsome,234029.663,British Virgin Islands,18.44389916,-64.5428009
NGD,Auguste George,13830.936,British Virgin Islands,18.7166996,-64.30000305
TOV,West End Spb,5459.58,British Virgin Islands,18.45000076,-64.58329773
VIJ,Virgin Gorda,20317.437,British Virgin Islands,18.44639969,-64.42970276
BWN,Brunei International,1364435.702,Brunei Darussalam,4.925000191,114.927803
BOJ,Burgas,1124864.132,Bulgaria,42.56969833,27.51530075
PDV,Krumovo,39993.59,Bulgaria,42.06779862,24.85079956
SOF,Sofia-Vrazhdebna,3937878.063,Bulgaria,42.70000076,23.39999962
VAR,Varna,711010.636,Bulgaria,43.23189926,27.82500076
VID,Vidin,2911.776,Bulgaria,44,22.83329964
BOY,Bobo Dioulasso,6139.861,Burkina Faso,11.16359997,-4.326399803
OUA,Ouagadougou,471096.759,Burkina Faso,12.35219955,-1.513299942
BJM,Bujumbura Intl,143495.961,Burundi,-3.331700087,29.32080078
KOS,Sihanoukville International,1136883.874,Cambodia,10.5795002,103.6369019
PNH,Phnom Penh International,4094152.041,Cambodia,11.54609966,104.8478012
REP,Angkor International,2414884.892,Cambodia,13.40890026,103.8158035
DLA,Douala International,573312.229,Cameroon,4.013299942,9.709199905
GOU,Garoua International,2482.809,Cameroon,9.336099625,13.37559986
MVR,Salak,2079.84,Cameroon,10.45219994,14.25640011
NGE,Ngaoundere,4255.006,Cameroon,7.356400013,13.56140041
NSI,Nsimalen Intl,238969.283,Cameroon,3.716700077,11.55000019
YAO,Yaounde-Ville Apt,285.978,Cameroon,3.833600044,11.52359963
CXH,Harbour SPB,8211.035,Canada,49.29999924,-123.1333008
XHM,Georgetown Rail Service,831.936,Canada,43.66669846,-79.9332962
YAJ,Lyall Harbour SPB,493.962,Canada,48.79999924,-123.199997
YAM,Sault Ste Marie,823.27,Canada,46.48310089,-84.50859833
YAQ,Maple Bay SPB,493.962,Canada,48.81669998,-123.6166992
YAV,Miners Bay SPB,493.962,Canada,48.86669922,-123.3000031
YAZ,Long Beach,2430.813,Canada,49.07690048,-125.7763977
YBG,Saguenay Bagotville,6586.16,Canada,48.32220078,-70.98860169
YBL,Campbell River,10724.175,Canada,49.9510994,-125.2694016
YBW,Bedwell Harbour SPB,493.962,Canada,48.75,-123.2332993
YCD,Nanaimo Airport,346.64,Canada,49.05279923,-123.8692017
YCF,Cortes Bay SPB,935.928,Canada,50.05690002,-124.8332977
YDA,Dawson City,1039.92,Canada,64.04170227,-139.1208038
YDF,Regional,823.27,Canada,49.21670151,-57.40000153
YDS,Desolation Sound,8484.014,Canada,50.18330002,-124.699997
YEG,Edmonton Intl,980930.538,Canada,53.30419922,-113.5916977
YFB,Iqaluit Airport,1122.247,Canada,63.75220108,-68.56390381
YFC,Fredericton International,4099.018,Canada,45.86669922,-66.53330231
YGE,Gorge Harbour SPB,571.956,Canada,50.08330154,-124.949997
YGG,Ganges SPB,493.962,Canada,48.84999847,-123.5
YGN,Greenway Sound SPB,935.928,Canada,49.36669922,-99.11669922
YGR,Iles de La Madeleine,415.968,Canada,47.36669922,-61.90000153
YHG,Charlottetown,818.937,Canada,48.95000076,-57.93330002
YHH,Campbell River SPB,4852.96,Canada,50.01670075,-125.25
YHM,John C. Munro Hamilton,190664.999,Canada,43.16690064,-79.93060303
YHS,Sechelt Airport,8484.014,Canada,49.46670151,-123.75
YHZ,Halifax Intl,485919.952,Canada,44.88330078,-63.51670075
YIG,Big Bay SPB,103.992,Canada,50.40940094,-125.1312027
YKA,Kamloops,6733.482,Canada,50.69919968,-120.4383011
YKF,Region of Waterloo International,3379.74,Canada,43.45560074,-80.3839035
YLW,Kelowna International,97709.15,Canada,49.96530151,-119.3778
YMF,Montague Harbour SPB,493.962,Canada,48.81669998,-123.199997
YMM,Fort McMurray,2469.81,Canada,56.65280151,-111.2205963
YMP,Port Mcneill Airport,606.62,Canada,50.58330154,-127.0999985
YOC,Old Crow,2079.84,Canada,67.58329773,-139.8332977
YOW,Macdonald-Cartier Intl,831611.025,Canada,45.32080078,-75.67279816
YPM,Pikangikum,77.994,Canada,51.81669998,-94
YPT,Pender Harbour SPB,935.928,Canada,49.5,-124.0333023
YQB,Jean Lesage Intl,346891.314,Canada,46.78919983,-71.39810181
YQG,Windsor,16504.397,Canada,42.27420044,-82.96389771
YQI,Yarmouth,2963.772,Canada,43.83330154,-66.08329773
YQJ,April Point Sea Plane Base,935.928,Canada,50.06499863,-125.2347031
YQL,Lethbridge County,537.292,Canada,49.63190079,-112.7917023
YQM,Greater Moncton Intl,22930.236,Canada,46.10889816,-64.68830109
YQQ,Comox,3483.732,Canada,49.71670151,-124.8933029
YQR,Regina International,50930.082,Canada,50.43190002,-104.665802
YQT,Thunder Bay International,4103.351,Canada,48.36970139,-89.32779694
YQU,Grande Prairie,2469.81,Canada,55.17969894,-118.8835983
YQX,Gander International,823.27,Canada,48.94670105,-54.56330109
YQY,J.A. Douglas McCurdy,190.652,Canada,46.16669846,-60.04999924
YRC,Refuge Cove Sea Plane Base,935.928,Canada,50.12390137,-124.8394013
YRR,Airstrip,831.936,Canada,50.41669846,-125.1667023
YSB,Sudbury,1646.54,Canada,46.62689972,-80.79810333
YSJ,Saint John,2456.811,Canada,45.31669998,-65.88330078
YTG,SPB,1039.92,Canada,55.88330078,-126.8396988
YTM,Mont-Tremblant Intl Airport,944.594,Canada,46.5155983,-74.75530243
YTZ,Billy Bishop Toronto City Airport,657155.779,Canada,43.65000153,-79.38330078
YUL,Pierre E. Trudeau Intl,8378583.444,Canada,45.46390152,-73.75
YUY,Rouyn-Noranda,1234.905,Canada,48.20560074,-78.83059692
YVO,Val d'Or,3293.08,Canada,48.05279923,-77.78279877
YVR,Vancouver Intl,9339759.835,Canada,49.18719864,-123.1853027
YVZ,Deer Lake,77.994,Canada,52.66669846,-94.5
YWG,J.A. Richardson Intl,564009.278,Canada,49.90000153,-97.23329926
YWH,Inner Harbour SPB,37437.12,Canada,48.65499878,-123.4666977
YXC,Canadian Rockies Intl,3899.7,Canada,49.53329849,-115.7667007
YXE,J.G. Diefenbaker Intl,148634.899,Canada,52.16669846,-106.6832962
YXS,Prince George,2903.11,Canada,53.89170075,-122.6750031
YXU,London International,23801.169,Canada,43.03329849,-81.15000153
YXX,Abbotsford International,42584.724,Canada,49.02389908,-122.3660965
YXY,Erik Nielsen Intl,4883.291,Canada,60.71670151,-135.0666962
YYB,Jack Garland,1646.54,Canada,46.36579895,-79.42140198
YYC,Calgary Intl,3745059.563,Canada,51.1128006,-114.0196991
YYG,Charlottetown,3891.034,Canada,46.28609848,-63.13059998
YYJ,Victoria Intl,162045.534,Canada,48.64860153,-123.4235992
YYR,Goose Bay,667.282,Canada,53.31669998,-60.41669846
YYT,St Johns International,30071.02,Canada,47.6169014,-52.75
YYZ,Toronto Lester B. Pearson Intl,20579124.2,Canada,43.67969894,-79.625
YZF,Yellowknife,1204.574,Canada,62.46889877,-114.4441986
YZT,Port Hardy,606.62,Canada,50.68059921,-127.3638992
YZV,Sept-Iles,1234.905,Canada,50.21670151,-66.28330231
ZAC,York Landing,82.327,Canada,56.09030151,-96.0911026
ZNA,Harbour SPB,3206.42,Canada,49.15000153,-123.9332962
BVC,Rabil Airport,216134.373,Cape Verde,16.08329964,-22.83329964
RAI,Praia International,251504.652,Cape Verde,14.92529964,-23.50309944
SID,Amilcar Cabral Intl,657467.755,Cape Verde,16.74500084,-22.95170021
VXE,San Pedro,69427.659,Cape Verde,16.83329964,-25.06669998
CYB,C. Kirkconnell Intl,3171.756,Cayman Islands,19.68670082,-79.88469696
GCM,Owen Roberts Intl,1084385.246,Cayman Islands,19.29249954,-81.35810089
BGF,Mpoko International Airport,105408.891,Central African Republic,4.396100044,18.52029991
NDJ,Ndjamena,205739.506,Chad,12.13469982,15.03499985
ANF,Cerro Moreno,23996.154,Chile,-23.43939972,-70.44280243
ARI,Chacalluta,753.942,Chile,-18.33309937,-70.33809662
CJC,El Loa,11361.126,Chile,-22.48719978,-68.91670227
IPC,Mataveri Intl,7305.438,Chile,-27.16500092,-109.4266968
IQQ,Diego Aracena,23909.494,Chile,-20.2317009,-70.14080048
LSC,La Florida,10321.206,Chile,-29.91329956,-71.19779968
PMC,El Tepual,649.95,Chile,-41.43249893,-73.09030151
PNT,Teniente J. Gallardo Airport,181.986,Chile,-51.68330002,-72.51670075
PUQ,C.Ibanez del Campo,6668.487,Chile,-53.12639999,-70.87750244
SCL,Arturo Merino Benitez Airport,7009498.433,Chile,-33.38669968,-70.78500366
ZCO,La Araucania,147.322,Chile,-38.76390076,-72.63690186
AVA,Huangguoshu,1291.234,China,26.25720024,105.8728027
BAV,Erliban,7071.456,China,40.66669846,109.9832993
BFJ,Bijie Airport,1291.234,China,27.26670075,105.4710999
BHY,Fucheng,35972.566,China,21.48329926,109.0832977
BPE,Beidaihe,6378.176,China,39.66640091,119.0599976
CAN,Baiyun International,12424838.5,China,23.39249992,113.2996979
CGO,Xinzheng International,1204080.038,China,34.75,113.6667023
CGQ,Longjia International,366043.174,China,43.91669846,125.3332977
CKG,Jiangbei International,2063049.625,China,29.49580002,106.3597031
CSX,Huanghua International Airport,1778644.504,China,28.19659996,113.2207031
CTU,Shuangliu International,4301611.748,China,30.57999992,103.949997
CZX,Benniu,221017.664,China,31.70000076,119.9666977
DAT,Beijiazao,7409.43,China,40.08300018,113.3000031
DDG,Langtou Airport,1377.894,China,40.02550125,124.2870026
DLC,Zhoushuizi International,1447711.629,China,38.91669846,121.6500015
DNH,Dunhuang,779.94,China,40.20000076,94.6832962
DSN,Ejin Horo,36873.83,China,39.84999847,110.0333023
DYG,Hehua,152664.589,China,29.13330078,110.4832993
ENH,Xujiaping,16881.368,China,30.2833004,109.3167038
ERL,Saiwusu International,13336.974,China,43.4233017,112.0911026
FOC,Changle International,1442256.382,China,26.10000038,119.2833023
FYJ,Fuyuan,788.606,China,48.19720078,134.3632965
HAK,Meilan International,881319.201,China,19.93860054,110.4621964
HET,Baita International,117372.304,China,40.85480118,111.8212967
HFE,Xinqiao International,493671.689,China,31.99279976,116.9733963
HGH,Xiaoshan International,3281809.867,China,30.23600006,120.4389038
HHA,Huanghua,20503.756,China,28.23329926,113.1500015
HIA,Lianshui,41666.128,China,33.78749847,119.1278
HLD,Dongshan,10043.894,China,49.2132988,119.8239975
HRB,Taiping International,545420.708,China,45.62210083,126.2482987
INC,Hedong,146763.043,China,38.36669922,106.3666992
JHG,Xishuangbanna Gasa International,48161.295,China,22.01670075,100.8000031
JJN,Jinjiang,680276.667,China,24.89999962,118.5832977
JMU,Dongjiao,20798.4,China,46.83330154,130.3500061
JNZ,Jinzhouwan,10737.174,China,41.11669922,121.0167007
KGT,Kangding Airport,472.297,China,38.14279938,101.7382965
KHG,Kashi,3275.748,China,39.54309845,76.0196991
KHN,Changbei International,550096.015,China,28.68330002,115.8833008
KMG,Changshui International,3272329.263,China,25.10390091,102.9428024
KWE,Longdongbao International,454674.689,China,26.54059982,106.8003006
KWL,Liangjiang International,255763.991,China,25.21590042,110.0472031
LHW,Zhongchuan,281246.364,China,36.01670075,103.75
LJG,Sanyi Airport,55380.073,China,27,100
LUM,Dehong Mangshi,23861.831,China,24.4829998,98.51699829
LXA,Gonggar,23255.211,China,29.66670036,91.15000153
LYA,Beijiao,22878.24,China,34.68330002,112.4666977
LYG,Baitabu,23866.164,China,34.54999924,119.25
LYI,Shubuling Airport,34958.644,China,35.05270004,118.4262009
LZH,Bailian,376.971,China,24.36669922,109.5333023
MDG,Hailang,78830.269,China,44.59999847,129.5
MIG,Nanjiao,2929.108,China,31.43110085,104.7380981
MXZ,Meixian,20677.076,China,24.35000038,116.1333008
NDG,Sanjiazi,3392.739,China,47.25529862,123.9240036
NGB,Lishe International,787639.741,China,29.83329964,121.5333023
NKG,Lukou International,2341080.903,China,31.99530029,118.8116989
NNG,Wuxu International,909046.068,China,22.60960007,108.1716995
NTG,Xingdong,154012.152,China,32.06669998,120.9666977
NZH,Xijiao Airport,30166.346,China,49.56560135,117.3450012
PEK,Capital International,18508383.5,China,40.06669998,116.5999985
PKX,Daxing International Airport,74063.969,China,39.50859833,116.4107971
PVG,Pudong International,24133917.4,China,31.14389992,121.7913971
SHA,Hongqiao International,2030504.462,China,31.19809914,121.3364029
SHE,Taoxian International,1164368.093,China,41.79999924,123.449997
SHP,Shanhaiguan,753.942,China,45.01670075,119.75
SIA,Xiguan,246.981,China,34.25,108.8666992
SJW,Zhengding International,216394.353,China,38.04999924,114.4666977
SWA,Jieyang Chaoshan,355817.294,China,23.36669922,116.6667023
SYX,Phoenix International,689999.919,China,18.30349922,109.4123993
SZX,Bao'an International,4040210.524,China,22.54999924,113.9167023
TAO,Liuting International,2745605.45,China,36.26679993,120.3830032
TEN,Fenhuang Airport,18163.936,China,27.63330078,109.0500031
TJJ,Bus Station,21301.028,China,39.14609909,117.2256012
TNA,Yaoqiang International,848626.716,China,36.75,116.9666977
TSN,Binhai International,2085841.205,China,39.1189003,117.3469009
TXN,Tunxi International,74076.968,China,29.73329926,118.3000031
TYN,Wusu International,307816.32,China,37.82889938,112.5550003
URC,Diwopu International,595458.192,China,43.9068985,87.47409821
UYN,Yuyang,9198.959,China,38.33330154,109.4832993
WEF,Weifang Airport,5095.608,China,36.75,119.2166977
WEH,Dashuibo,378743.197,China,37.1867981,122.2291031
WNZ,Yongqiang International,367910.697,China,27.95000076,120.6333008
WUH,Tianhe International,1874425.469,China,30.5977993,114.2427979
WUS,Fujian Province Airport,36041.894,China,27.70089912,118.0002976
WUT,Wutaishan,8072.379,China,38.5992012,112.9677963
WUX,Sunan Shuofang,683201.442,China,31.58329964,120.3167038
WXN,Wuqiao,37593.108,China,30.89999962,108.4666977
